"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"
"1"	2	2	0	1	2	2	1	1	4	4	0	3	0	0	3	0	2	1	2	2	2	2	1	2
"2"	3	2	3	3	4	2	2	2	3	2	1	0	2	0	1	1	0	0	1	0	0	3	2	0
"3"	2	3	4	2	0	2	1	0	1	2	2	0	2	0	2	2	2	1	0	2	1	0	1	0
"4"	0	2	0	1	2	0	2	2	0	0	1	3	2	2	1	3	2	1	1	2	1	0	1	1
"5"	4	2	0	2	4	2	1	4	2	4	3	2	3	3	2	2	2	1	2	3	4	2	2	2
"6"	0	1	2	0	4	1	2	4	4	2	3	2	2	0	2	0	1	1	1	1	0	0	2	4
"7"	2	3	0	2	2	4	4	4	3	1	1	4	2	1	0	2	3	2	2	2	2	3	2	2
"8"	2	2	2	2	4	4	4	4	4	4	3	4	4	2	4	0	3	4	1	3	3	3	4	3
"9"	2	2	3	4	4	1	2	2	1	2	4	0	4	1	2	3	1	4	0	2	2	3	4	4
"10"	3	2	2	4	1	0	2	1	3	2	2	3	3	2	1	2	4	3	2	4	2	0	1	2
"11"	0	2	0	2	2	3	2	1	0	4	0	1	1	2	0	2	1	2	2	0	0	0	0	0
"12"	0	3	4	1	4	4	2	2	1	3	3	2	0	4	2	2	4	2	2	1	2	2	2	2
"13"	3	4	2	2	2	4	2	3	2	2	4	2	1	1	1	2	2	3	0	1	2	3	1	0
"14"	4	2	4	2	2	2	4	4	4	2	3	2	2	1	3	1	4	2	4	2	3	2	3	3
"15"	3	2	4	4	4	1	4	2	2	2	3	3	2	2	4	4	3	3	2	2	1	2	2	2
"16"	4	0	0	3	2	2	2	2	2	2	0	1	1	2	1	2	2	2	2	2	2	2	2	0
"17"	0	0	4	1	4	1	2	2	2	0	0	1	2	2	0	0	2	2	2	0	2	0	0	1
"18"	0	4	2	2	3	3	2	1	0	2	2	2	1	2	1	0	1	0	0	0	1	2	0	0
"19"	2	0	0	2	2	2	0	2	0	0	1	1	2	1	3	2	0	2	1	0	0	1	2	0
"20"	4	0	0	4	2	2	2	2	2	2	3	0	0	3	2	2	1	2	2	2	1	3	0	1
"21"	2	2	2	2	0	3	2	2	2	2	4	2	2	2	2	0	1	0	0	0	1	2	2	1
"22"	2	2	2	2	1	0	2	2	1	0	0	0	0	0	2	0	1	1	1	0	0	0	1	0
"23"	3	2	2	3	3	4	2	3	2	0	2	2	1	4	2	2	3	3	2	2	4	2	0	4
"24"	2	3	4	2	2	4	3	2	1	4	2	0	0	2	4	1	2	4	3	2	3	4	2	4
"25"	4	3	2	4	4	4	4	3	2	1	2	3	4	1	4	4	2	4	4	2	3	2	2	2
"26"	2	2	4	4	4	2	1	4	4	4	2	2	2	2	3	3	4	4	4	3	4	4	2	4
"27"	2	4	2	1	4	1	2	0	0	3	1	0	3	0	2	1	0	2	4	3	0	4	4	1
"28"	2	0	3	0	2	0	1	1	1	3	0	3	1	1	2	3	2	2	0	2	4	2	1	2
"29"	1	2	0	2	0	2	0	0	0	0	4	0	2	2	2	2	0	2	1	2	0	0	0	0
"30"	2	4	0	0	2	2	0	0	3	1	1	2	1	1	2	2	2	0	1	2	1	2	1	1
"31"	1	2	4	4	2	4	4	2	2	2	2	4	4	2	2	2	4	3	4	4	2	4	3	2
"32"	2	3	3	2	2	3	4	2	3	0	2	2	2	2	3	2	2	0	4	3	2	2	0	4
"33"	0	2	4	2	1	4	0	2	1	2	2	1	2	1	3	0	1	2	2	0	0	2	3	2
"34"	2	1	1	2	2	2	0	1	2	4	2	0	2	1	2	2	4	1	0	3	2	2	2	1
"35"	3	1	3	2	0	2	3	4	2	0	1	2	1	2	3	2	4	2	1	1	2	0	2	2
"36"	0	1	2	2	1	2	2	1	2	2	0	2	0	2	2	3	1	2	3	1	0	0	0	0
"37"	3	2	2	3	2	2	2	4	3	4	2	3	4	3	2	2	3	3	1	4	2	2	3	4
"38"	2	4	2	2	2	3	3	2	4	2	2	2	0	0	2	4	1	3	3	2	0	1	2	4
"39"	0	3	4	2	3	4	1	2	2	3	1	0	0	2	2	1	1	4	2	4	3	2	2	0
"40"	0	0	2	1	4	1	1	2	2	2	4	1	1	2	1	2	2	2	3	2	1	3	0	2
"41"	4	0	0	0	2	0	2	1	0	2	2	1	0	2	0	0	1	3	1	2	2	2	0	2
"42"	0	2	2	2	2	0	2	4	2	1	1	3	4	1	2	0	2	2	1	2	0	0	0	2
"43"	2	2	3	2	2	2	2	2	3	1	2	2	0	2	2	0	0	1	2	2	2	0	2	0
"44"	0	2	1	2	4	1	2	3	0	4	0	1	4	3	0	3	2	1	3	2	1	2	2	4
"45"	4	3	2	0	2	3	2	4	0	4	4	3	2	2	3	2	4	2	3	2	4	2	1	3
"46"	0	1	3	2	2	4	1	4	2	2	4	2	2	1	1	1	0	2	2	2	2	4	0	2
"47"	4	4	4	4	3	4	4	2	4	4	4	2	3	4	2	3	3	4	2	4	4	2	4	4
"48"	2	2	3	2	4	4	4	4	2	2	1	3	4	2	3	2	2	2	0	1	2	4	1	2
"49"	4	4	3	2	1	4	4	2	2	4	1	4	2	2	1	4	3	2	4	4	2	1	2	0
"50"	0	2	0	2	0	0	1	2	2	0	0	0	1	1	0	0	0	0	0	1	1	0	1	2
"51"	3	2	2	3	4	0	2	2	3	3	3	3	1	0	2	3	2	0	3	2	0	3	3	1
"52"	2	1	0	0	2	4	2	1	0	2	4	0	2	3	2	0	0	1	0	2	2	0	1	1
"53"	2	4	2	2	4	2	2	2	4	2	3	3	2	4	2	1	2	0	2	2	2	0	2	2
"54"	4	2	2	3	3	4	2	2	4	2	2	4	2	4	3	3	3	4	3	2	3	3	4	3
"55"	0	2	3	3	4	4	4	2	2	2	1	4	2	2	2	2	2	0	0	0	3	2	2	3
"56"	4	2	1	2	1	2	1	1	3	4	2	3	3	3	2	2	0	2	2	3	2	1	2	3
"57"	1	3	2	2	1	0	0	0	1	4	0	2	2	2	1	3	2	0	2	1	1	0	1	0
"58"	2	4	2	3	4	4	2	2	4	0	0	0	4	2	1	2	2	0	2	2	2	1	1	2
"59"	2	1	2	2	3	3	0	1	3	2	0	0	3	0	4	0	2	2	2	2	2	1	3	2
"60"	3	0	2	3	2	4	2	4	0	4	3	3	2	1	2	2	2	2	4	2	0	2	2	2
"61"	3	0	0	2	2	1	3	2	4	2	3	2	2	0	2	0	2	2	4	2	2	2	3	2
"62"	2	3	2	4	3	2	4	3	4	2	3	2	2	3	4	2	3	2	4	2	4	2	2	0
"63"	4	3	4	2	2	4	4	3	3	2	2	0	2	2	2	4	3	2	0	2	2	3	3	4
"64"	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	2	2	0	1	0	0	0	0	0
"65"	4	2	3	2	4	4	4	4	2	2	3	2	3	4	4	2	2	4	4	2	2	1	2	3
"66"	2	2	0	2	0	0	2	3	2	2	0	2	4	1	1	1	0	0	2	2	1	1	0	1
"67"	3	3	4	1	2	2	2	4	2	3	3	2	1	2	2	2	2	4	2	2	2	2	2	0
"68"	1	2	4	3	4	1	4	2	4	2	2	2	1	2	3	3	2	0	2	1	2	2	3	0
"69"	1	2	2	2	2	3	2	2	3	1	0	1	3	2	2	2	2	2	2	1	2	2	2	0
"70"	4	4	4	4	4	2	4	4	4	4	3	4	2	3	4	2	3	2	4	4	4	4	3	3
"71"	4	0	2	2	2	2	3	2	4	4	1	2	4	3	0	1	2	2	0	2	2	2	1	2
"72"	2	2	3	2	4	2	1	2	4	0	2	4	2	3	1	2	2	3	2	1	0	1	3	2
"73"	2	1	3	0	0	1	4	2	3	1	1	4	0	0	2	2	0	0	1	2	0	1	2	0
"74"	2	4	3	3	4	3	4	4	4	4	2	4	2	2	2	1	3	3	2	4	2	2	2	1
"75"	2	2	4	2	4	4	4	2	4	2	4	4	4	3	2	3	3	4	4	3	2	3	2	3
